Title,Year,Authors,URL,DOI,Source,Abstract
"Training Volume, Not Frequency, Indicative of Maximal Strength Adaptations to Resistance Training",2018,"Ryan J. Colquhoun, Christopher M. Gai, Danielle Aguilar, Daniel Sabanés Bové, Jeffrey Dolan, et al.",https://doi.org/10.1519/jsc.0000000000002414,10.1519/jsc.0000000000002414,Google Scholar,"Colquhoun, RJ, Gai, CM, Aguilar, D, Bove, D, Dolan, J, Vargas, A, Couvillion, K, Jenkins, NDM, and Campbell, BI. Training volume, not frequency, indicative of maximal strength adaptations to resistance training. J Strength Cond Res 32(5): 1207-1213, 2018-To compare the effects of a high versus a moderate training frequency on maximal strength and body composition. Twenty-eight young, healthy resistance-trained men were randomly assigned to either: 3× per week (3×; n = 16) or 6× per week (6×; n = 12). Dependent variables (DVs) assessed at baseline and after the 6-week training intervention included: squat 1 repetition maximum (SQ1RM), bench press 1RM (BP1RM), deadlift 1RM (DL1RM), powerlifting total (PLT), Wilk's coefficient (WC), fat-free mass (FFM), and fat mass. Data for each DV were analyzed using a 2 × 2 between-within factorial repeated-measures analysis of variance. There was a main effect for time (p < 0.001) for SQ1RM (3×: +16.8 kg; 6×: +16.7 kg), BP1RM (3×: +7.8 kg; 6×: +8.8 kg), DL1RM (3×: +19 kg; 6×: +21 kg), PLT (3×: +43.6 kg; 6×: +46.5 kg), WC (3×: +27; 6×: +27.1), and FFM (3×: +1.7 kg; 6×: +2.6 kg). There were no group × time interactions or main effects for group. The primary finding was that 6 weeks of resistance training led to significant increases in maximal strength and FFM. In addition, it seems that increased training frequency does not lead to additional strength improvements when volume and intensity are equated. High-frequency (6× per week) resistance training does not seem to offer additional strength and hypertrophy benefits over lower frequency (3× per week) when volume and intensity are equated. Coaches and practitioners can therefore expect similar increases in strength and lean body mass with both 3 and 6 weekly sessions."
Precise Few-shot Fat-free Thigh Muscle Segmentation in T1-weighted MRI (2023),2023,"Sheng Chen, Zihao Tang, Dongnan Liu, Ché Fornusek, Michael Barnett, Chenyu Wang, Mariano Cabezas, Weidong Cai",http://arxiv.org/abs/2304.14053v1,10.48550/arxiv.2304.14053,arXiv,"Precise thigh muscle volumes are crucial to monitor the motor functionality of patients with diseases that may result in various degrees of thigh muscle loss. T1-weighted MRI is the default surrogate to obtain thigh muscle masks due to its contrast between muscle and fat signals. Deep learning approaches have recently been widely used to obtain these masks through segmentation. However, due to the insufficient amount of precise annotations, thigh muscle masks generated by deep learning approaches tend to misclassify intra-muscular fat (IMF) as muscle impacting the analysis of muscle volumetrics. As IMF is infiltrated inside the muscle, human annotations require expertise and time. Thus, precise muscle masks where IMF is excluded are limited in practice. To alleviate this, we propose a few-shot segmentation framework to generate thigh muscle masks excluding IMF. In our framework, we design a novel pseudo-label correction and evaluation scheme, together with a new noise robust loss for exploiting high certainty areas. The proposed framework only takes $1\%$ of the fine-annotated training dataset, and achieves comparable performance with fully supervised methods according to the experimental results."
Semantic Segmentation of Thigh Muscle using 2.5D Deep Learning Network Trained with Limited Datasets (2019),2019,"Hasnine Haque, Masahiro Hashimoto, Nozomu Uetake, Masahiro Jinzaki",http://arxiv.org/abs/1911.09249v1,10.48550/arxiv.1911.09249,arXiv,"Purpose: We propose a 2.5D deep learning neural network (DLNN) to automatically classify thigh muscle into 11 classes and evaluate its classification accuracy over 2D and 3D DLNN when trained with limited datasets. Enables operator invariant quantitative assessment of the thigh muscle volume change with respect to the disease progression. Materials and methods: Retrospective datasets consist of 48 thigh volume (TV) cropped from CT DICOM images. Cropped volumes were aligned with femur axis and resample in 2 mm voxel-spacing. Proposed 2.5D DLNN consists of three 2D U-Net trained with axial, coronal and sagittal muscle slices respectively. A voting algorithm was used to combine the output of U-Nets to create final segmentation. 2.5D U-Net was trained on PC with 38 TV and the remaining 10 TV were used to evaluate segmentation accuracy of 10 classes within Thigh. The result segmentation of both left and right thigh were de-cropped to original CT volume space. Finally, segmentation accuracies were compared between proposed DLNN and 2D/3D U-Net. Results: Average segmentation DSC score accuracy of all classes with 2.5D U-Net as 91.18% and Average Surface distance (ASD) accuracy as 0.84 mm. We found, mean DSC score for 2D U-Net was 3.3% lower than the that of 2.5D U-Net and mean DSC score of 3D U-Net was 5.7% lower than that of 2.5D U-Net when trained with same datasets. Conclusion: We achieved a faster computationally efficient and automatic segmentation of thigh muscle into 11 classes with reasonable accuracy. Enables quantitative evaluation of muscle atrophy with disease progression."
Evaluation of matrix factorisation approaches for muscle synergy extraction (2018),2018,"Ahmed Ebied, Eli Kinney-Lang, Loukianos Spyrou, Javier Escudero",http://arxiv.org/abs/1806.01785v1,10.1016/J.MEDENGPHY.2018.04.003,arXiv,"The muscle synergy concept provides a widely-accepted paradigm to break down the complexity of motor control. In order to identify the synergies, different matrix factorisation techniques have been used in a repertoire of fields such as prosthesis control and biomechanical and clinical studies. However, the relevance of these matrix factorisation techniques is still open for discussion since there is no ground truth for the underlying synergies. Here, we evaluate factorisation techniques and investigate the factors that affect the quality of estimated synergies. We compared commonly used matrix factorisation methods: Principal component analysis (PCA), Independent component analysis (ICA), Non-negative matrix factorization (NMF) and second-order blind identification (SOBI). Publicly available real data were used to assess the synergies extracted by each factorisation method in the classification of wrist movements. Synthetic datasets were utilised to explore the effect of muscle synergy sparsity, level of noise and number of channels on the extracted synergies. Results suggest that the sparse synergy model and a higher number of channels would result in better-estimated synergies. Without dimensionality reduction, SOBI showed better results than other factorisation methods. This suggests that SOBI would be an alternative when a limited number of electrodes is available but its performance was still poor in that case. Otherwise, NMF had the best performance when the number of channels was higher than the number of synergies. Therefore, NMF would be the best method for muscle synergy extraction."
Targeted Muscle Effort Distribution with Exercise Robots: Trajectory and Resistance Effects (2021),2021,"Humberto De las Casas, Santino Bianco, Hanz Richter",http://arxiv.org/abs/2107.01280v1,10.1016/j.medengphy.2021.06.008,arXiv,"The objective of this work is to relate muscle effort distributions to the trajectory and resistance settings of a robotic exercise and rehabilitation machine. Muscular effort distribution, representing the participation of each muscle in the training activity, was measured with electromyography sensors (EMG) and defined as the individual activation divided by the total muscle group activation. A four degrees-of-freedom robot and its impedance control system are used to create advanced exercise protocols whereby the user is asked to follow a path against the machine's neutral path and resistance. In this work, the robot establishes a zero-effort circular path, and the subject is asked to follow an elliptical trajectory. The control system produces a user-defined stiffness between the deviations from the neutral path and the torque applied by the subject. The trajectory and resistance settings used in the experiments were the orientation of the ellipse and a stiffness parameter. Multiple combinations of these parameters were used to measure their effects on the muscle effort distribution. An artificial neural network (ANN) used part of the data for training the model. Then, the accuracy of the model was evaluated using the rest of the data. The results show how the precision of the model is lost over time. These outcomes show the complexity of the muscle dynamics for long-term estimations suggesting the existence of time-varying dynamics possibly associated with fatigue."
Spatial Analysis of Neuromuscular Junctions Activation in Three-Dimensional Histology-based Muscle Reconstructions (2025),2025,"Alessandro Ascani Orsini, Manan Bhatt, Pierce L. Perkins, Siyu Wang, Kiara N. Quinn, Kenzi Griffith, Fausto Kang, Nitish V. Thakor",http://arxiv.org/abs/2502.18646v2,10.48550/arxiv.2502.18646,arXiv,"Histology has long been a foundational technique for studying anatomical structures through tissue slicing. Advances in computational methods now enable three dimensional (3D) reconstruction of organs from histology images, enhancing the analysis of structural and functional features. Here, we present a novel multimodal computational method to reconstruct rodent muscles in 3D using classical image processing and data analysis techniques, analyze their structural features and correlate them to previously recorded electrophysiological data. The algorithm analyzes spatial distribution patterns of features identified through histological staining, normalizing them across multiple samples. Further, the algorithm successfully correlates spatial patterns with high density epimysial ElectroMyoGraphy (hdEMG) recordings, providing a multimodal perspective on neuromuscular dynamics, linking spatial and electrophysiological information. The code was validated by looking at the distribution of NeuroMuscular Junctions (NMJs) in naive soleus muscles and compared the distributions and patterns observed with ones observed in previous literature. Our results showed consistency with the expected results, validating our method for features and pattern recognition. The multimodal aspect was shown in a naive soleus muscle, where a strong correlation was found between motor unit locations derived via hdEMG, and NMJ locations obtained from histology, highlighting their spatial relationship. This multimodal analysis tool integrates 3D structural data with electrophysiological activity, opening new avenues in muscle diagnostics, regenerative medicine, and personalized therapies where spatial insights could one day predict electrophysiological behavior or vice versa."
Spontaneous waves in muscle fibres (2009),2009,"Stefan Gunther, Karsten Kruse",http://arxiv.org/abs/0901.4517v1,10.1088/1367-2630/9/11/417,arXiv,"Mechanical oscillations are important for many cellular processes, e.g. the beating of cilia and flagella or the sensation of sound by hair cells. These dynamic states originate from spontaneous oscillations of molecular motors. A particularly clear example of such oscillations has been observed in muscle fibers under non-physiological conditions. In that case, motor oscillations lead to contraction waves along the fiber. By a macroscopic analysis of muscle fiber dynamics we find that the spontaneous waves involve non-hydrodynamic modes. A simple microscopic model of sarcomere dynamics highlights mechanical aspects of the motor dynamics and fits with the experimental observations."
Force and kinetics of fast and slow muscle myosin determined with a synthetic sarcomere-like nanomachine (2024),2024,"Valentina Buonfiglio, Irene Pertici, Matteo Marcello, Ilaria Morotti, Marco Caremani, Massimo Reconditi, Marco Linari, Duccio Fanelli, Vincenzo Lombardi, Pasquale Bianco",http://arxiv.org/abs/2408.00373v1,10.1038/s42003-024-06033-8,arXiv,"Myosin II is the muscle molecular motor that works in two bipolar arrays in each thick filament of the striated (skeletal and cardiac) muscle, converting the chemical energy into steady force and shortening by cyclic ATP-driven interactions with the nearby actin filaments. Different isoforms of the myosin motor in the skeletal muscles account for the different functional requirements of the slow muscles (primarily responsible for the posture) and fast muscles (responsible for voluntary movements). To clarify the molecular basis of the differences, here the isoform-dependent mechanokinetic parameters underpinning the force of slow and fast muscles are defined with a unidimensional synthetic nanomachine powered by pure myosin isoforms from either slow or fast rabbit skeletal muscle. Data fitting with a stochastic model provides a self-consistent estimate of all the mechanokinetic properties of the motor ensemble including the motor force, the fraction of actin-attached motors and the rate of transition through the attachment-detachment cycle. The achievements in this paper set the stage for any future study on the emergent mechanokinetic properties of an ensemble of myosin molecules either engineered or purified from mutant animal models or human biopsies."
Muscle Activation Estimation by Optimizing the Musculoskeletal Model for Personalized Strength and Conditioning Training (2025),2025,"Xi Wu, Chenzui Li, Kehan Zou, Ning Xi, Fei Chen",http://arxiv.org/abs/2502.13760v2,10.1109/robio64047.2024.10907613,arXiv,"Musculoskeletal models are pivotal in the domains of rehabilitation and resistance training to analyze muscle conditions. However, individual variability in musculoskeletal parameters and the immeasurability of some internal biomechanical variables pose significant obstacles to accurate personalized modelling. Furthermore, muscle activation estimation can be challenging due to the inherent redundancy of the musculoskeletal system, where multiple muscles drive a single joint. This study develops a whole-body musculoskeletal model for strength and conditioning training and calibrates relevant muscle parameters with an electromyography-based optimization method. By utilizing the personalized musculoskeletal model, muscle activation can be subsequently estimated to analyze the performance of exercises. Bench press and deadlift are chosen for experimental verification to affirm the efficacy of this approach."
A Characterization of Approximation Resistance (2013),2013,"Subhash Khot, Madhur Tulsiani, Pratik Worah",http://arxiv.org/abs/1305.5500v2,10.1145/2422436.2422459,arXiv,"A constraint satisfaction problem (CSP) is said to be approximation resistant if it is hard to approximate better than the trivial algorithm which picks a uniformly random assignment. Assuming the Unique Games Conjecture, we give a characterization of approximation resistance for k-partite CSPs defined by an even predicate."
A novel approach for determining fatigue resistances of different muscle groups in static cases (2011),2011,"Liang Ma, Damien Chablat, Fouad Bennis, Wei Zhang, Bo Hu, François Guillaume",http://arxiv.org/abs/1104.1190v1,10.1016/j.ergon.2010.11.005,arXiv,"In ergonomics and biomechanics, muscle fatigue models based on maximum endurance time (MET) models are often used to integrate fatigue effect into ergonomic and biomechanical application. However, due to the empirical principle of those MET models, the disadvantages of this method are: 1) the MET models cannot reveal the muscle physiology background very well; 2) there is no general formation for those MET models to predict MET. In this paper, a theoretical MET model is extended from a simple muscle fatigue model with consideration of the external load and maximum voluntary contraction in passive static exertion cases. The universal availability of the extended MET model is analyzed in comparison to 24 existing empirical MET models. Using mathematical regression method, 21 of the 24 MET models have intraclass correlations over 0.9, which means the extended MET model could replace the existing MET models in a general and computationally efficient way. In addition, an important parameter, fatigability (or fatigue resistance) of different muscle groups, could be calculated via the mathematical regression approach. Its mean value and its standard deviation are useful for predicting MET values of a given population during static operations. The possible reasons influencing the fatigue resistance were classified and discussed, and it is still a very challenging work to find out the quantitative relationship between the fatigue resistance and the influencing factors."
Tensorial tomographic Fourier Ptychography with applications to muscle tissue imaging (2023),2023,"Shiqi Xu, Xiang Dai, Paul Ritter, Kyung Chul Lee, Xi Yang, Lucas Kreiss, Kevin C. Zhou, Kanghyun Kim, Amey Chaware, Jadee Neff, Carolyn Glass, Seung Ah Lee, Oliver Friedrich, Roarke Horstmeyer",http://arxiv.org/abs/2305.05085v2,10.1117/1.AP.6.2.026004,arXiv,"We report Tensorial tomographic Fourier Ptychography (ToFu), a new non-scanning label-free tomographic microscopy method for simultaneous imaging of quantitative phase and anisotropic specimen information in 3D. Built upon Fourier Ptychography, a quantitative phase imaging technique, ToFu additionally highlights the vectorial nature of light. The imaging setup consists of a standard microscope equipped with an LED matrix, a polarization generator, and a polarization-sensitive camera. Permittivity tensors of anisotropic samples are computationally recovered from polarized intensity measurements across three dimensions. We demonstrate ToFu's efficiency through volumetric reconstructions of refractive index, birefringence, and orientation for various validation samples, as well as tissue samples from muscle fibers and diseased heart tissue. Our reconstructions of muscle fibers resolve their 3D fine-filament structure and yield consistent morphological measurements compared to gold-standard second harmonic generation scanning confocal microscope images found in the literature. Additionally, we demonstrate reconstructions of a heart tissue sample that carries important polarization information for detecting cardiac amyloidosis."
"Muscle-Cell-Based ""Living Diodes"" (2017)",2017,"Uryan Isik Can, Neerajha Nagarajan, Dervis Can Vural, Pinar Zorlutuna",http://arxiv.org/abs/1706.00383v1,10.1002/adbi.201770005,arXiv,"A new type of diode that is made entirely of electrically excitable muscle cells and non-excitable fibroblast cells is designed, fabricated, and characterized in article number 1600035 by Pinar Zorlutuna and co-workers. These two cell types in a rectangular pattern allow the signal initiated on the excitable side to pass to the non-excitable side, and not in the opposite direction."
Comorbid CAD and Ventricular Hypertrophy Compromise The Perfusion of Myocardial Tissue at Subcritical Stenosis of Epicardial Coronaries (2018),2018,Eslam Abbas,http://arxiv.org/abs/1801.04008v1,10.1186/s43044-019-0003-5,arXiv,"BACKGROUND: Most studies of CAD revascularization have been based on and reported according to angiographic criteria which don't consider the relation between the resulting effective flow distal to the stenosis and the demand of a hypertrophied myocardial tissue.   MODEL: Mathematical model of the myocardial perfusion in comorbid CAD and ventricular hypertrophy using Poiseuille's law. The analysis yields that the curve, which represents the relation between the perfusion and the severity of CAD depending on angiographic and/or angiophysiologic criteria, is shifted to the right by the effect of myocardial tissue hypertrophy. The right shift of said curve, which is directly proportional to the degree of ventricular hypertrophy, indicates that the perfusion of the corresponding myocardial tissue is compromised at angiographically and/or angiophysiologically subsignificant stenosis of the supplying epicardial vessel.   RESULTS: Patients with comorbid CAD and left ventricular hypertrophy are more sensitive to CAD-related hemodynamic changes. They are more prone to develop ischemic complications, than their peers with isolated CAD regarding the same degree of coronary stenosis.   CONCLUSION: Patients with comorbid CAD and ventricular hypertrophy suffer from myocardial hypoperfusion at angiographically and/or angiophysiologically subcritical epicardial stenosis. Accordingly; the comorbidity of both diseases should be considered upon designing of the treatment regime."
Strategies for tumor elimination and control under immune evasion and chemotherapy resistance (2026),2026,"Nazanin Mokari, Bryce Morsky",http://arxiv.org/abs/2604.01385v1,N/A,arXiv,"The evolutionary and ecological dynamics of tumors under immune responses and therapeutic interventions pose major challenges to long-term treatment success. Although treatment may initially achieve short-term disease control, resistant cancer cell subpopulations often arise, leading to relapse with more aggressive and treatment-resistant forms of the disease. Here, we develop and analyze mathematical models describing the interactions among effector cells, chemo-resistant tumor cells, and immuno-resistant tumor cells under distinct immune-evasion strategies. The models incorporate competition and cooperation between resistant and sensitive tumor subpopulations. We identify threshold conditions governing tumor persistence, elimination, and phenotype dominance under varying therapeutic intensities. These findings provide a theoretical framework for designing targeted and combination therapies and offer insights into strategies for mitigating the treatment resistance."
